timestamp;cpu;mem;disk;net_sent;net_recv
1765245809;1.5;27.2;6.1;8554030;2198407
1765245810;12.4;27.2;6.1;8555024;2199461
1765245811;14;27.2;6.1;8555967;2200631
1765245812;13.4;27.2;6.1;8556910;2201849
1765245813;7;27.2;6.1;8558640;2203605
1765245814;10;27.2;6.1;8559582;2204822
1765245815;13.3;27.2;6.1;8560577;2205937
1765245816;13.6;27.2;6.1;8561572;2206992
1765245817;13.8;27.3;6.1;8563104;2208845
1765245819;13.8;27.3;6.1;8565048;2210343
1765245820;11.8;27.3;6.1;8567033;2211841
1765245821;13.7;27.3;6.1;8569059;2213339
1765245822;13.4;27.3;6.1;8571178;2214889
1765245823;13.5;27.3;6.1;8573338;2216665
1765245824;13.5;27.3;6.1;8575487;2218378
1765245825;13.8;27.3;6.1;8577729;2219928
1765245826;13.8;27.3;6.1;8579960;2221641
1765245827;14;27.3;6.1;8582284;2223191
1765245828;13.8;27.3;6.1;8584647;2224681
1765245829;13.9;27.3;6.1;8587010;2226446
1765245831;13.8;27.3;6.1;8589362;2228111
1765245832;14.4;27.3;6.1;8591879;2229661
1765245833;14.2;27.3;6.1;8594897;2233676
1765245834;12.3;27.3;6.1;8597508;2235406
1765245835;13.4;27.3;6.1;8599992;2237022
1765245836;13.6;27.3;6.1;8603917;2238847
1765245837;13.8;27.3;6.1;8604996;2240046
1765245838;4.1;27.3;6.1;8608494;2242466
1765245839;13.8;27.3;6.1;8611266;2244153
1765245840;14.3;27.3;6.1;8614741;2246703
1765245841;13.9;27.3;6.1;8617668;2248468
1765245843;14;27.3;6.1;8620584;2250330
1765245844;14.2;27.3;6.1;8623467;2251888
1765245845;14;27.3;6.1;8628734;2254494
1765245846;13;27.3;6.1;8631749;2256098
1765245847;13.7;27.3;6.1;8634731;2257780
1765245848;13.1;27.3;6.1;8638506;2259913
1765245849;14.8;27.3;6.1;8668894;2265011
1765245850;13.8;27.3;6.1;8672215;2266997
1765245851;14.8;27.3;6.1;8675505;2268746
1765245852;12.9;27.3;6.1;8678795;2270350
1765245853;13.5;27.3;6.1;8682799;2273075
1765245855;13.8;27.3;6.1;8686171;2274625
1765245856;13.9;27.3;6.1;8689584;2276254
1765245857;14.1;27.3;6.1;8693506;2278493
1765245858;14.1;27.3;6.1;8695029;2279866
1765245859;11.3;27.3;6.1;8698565;2281555
